run_id,gen,best_sc_adj
1,0,0.362486
1,1,0.396739
1,2,0.396739
1,3,0.396739
1,4,0.400485
1,5,0.409059
1,6,0.409059
1,7,0.409059
1,8,0.409059
1,9,0.409059
1,10,0.528579
